2021-05-20T13:51:12,864 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T13:51:12,865 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T13:51:12,866 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T13:51:12,932 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:51:12,935 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:55:42,104 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T13:55:42,199 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:55:42,201 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:55:42,533 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T13:55:42,534 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T13:55:42,535 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T13:55:42,536 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T13:55:42,587 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:55:42,588 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T14:03:41,963 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T14:03:42,059 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T14:03:42,061 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T14:03:42,262 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T14:03:42,262 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T14:03:42,265 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
